ALDI,8
REWE,13
dm,10
Bauhaus,3
Hornbach,18
Apotheke,5
Müller,111
DB,51
Galeria Kaufhof,25
Alnatura,4
IKEA,14
Rossmann,126
Beauty Lounge Medina,331
EDEKA,148
Depot,109
Saturn,62
Höffner,65
Adidas,214
idee,24
denn's,132
Zweirad Otto,202
McDonalds,219
Dehner,260
Lidl,263
OBI,33
Siegel,72
LeCrobag,75
Rituals,102
Metzgerei,145
Kaufland,200
Olymp,240
Playmobilland,290
Nanu Nana,368
Vinci Due,390
Dorfladen,728
Kupferkanne,730
Mediamarkt,15
toom,16
Buchhandlung,80
Neubert,98
Kibek,157
real,178
Verdi,204
Cinecitta,205
Thalia,233
Bäcker,264
Strohauer's Cafe,267
Dunkin Donuts,295
Beck,297
Subway,330
Hafenrundfahrt,360
Miniturwunderland,362
Reebok,387
Historisches Museum,495
Fahrrad Otto,588
Blumenfee,610
adidas,614
Shell,671
Erlebniszentrum,731
bahn,735
Kinopolis,2
scheckin,12
Löschmann,36
SchuhMarke,42
Sportarena,81
Bräuninger,106
City-Markt,110
Blumenladen,115
Hofpfisterei,142
tegut,143
Waltmann,144
LUSH,168
VVS,182
pen&paper,185
red,191
Kölner Confisserie,203
Medialand,231
Intersport,232
Pinocchio,236
Ta Panta Ri,262
Leisinger,269
Schmidt's,270
Parkhotel,279
The Squire,280
Malaka Street,287
McDonalds Pune,288
Kiosk Pune,289
Vapiano,294
Steam,306
Blumen,317
Kamps KS,325
Starbucks,333
?,346
Spar Express HH Hbf,354
Fahrrad Brand,355
Cafe Auszeit,357
team Tankstelle,358
Fidget Spinner,364
Dionysos,366
Euroshop,367
Kamps HH Hbf,371
Feriendorf,372
Chiang Mai,376
Biergarten,378
Bella Crema,381
Schreibwaren Müller,405
Casa Dei Fiori,407
Qube,422
Aral,423
TEDI,440
Wiegand,455
Tracks,456
Goethe Bar,457
T.K.maxx,468
Cafe Bonnen,472
Craemer,489
Parken,494
Jewels of India,506
Aqwa,510
Thanner,546
Eis,569
Luxor Filmpalast HD,571
Grimminger,582
Wöhrl,589
Tchibo,590
Cavaly,598
Kühler Krug,602
Schmidts,603
Sport Hoffmann,613
Cafe Rossi,628
Sport Conrad,637
Gasthaus zur Schranne,639
Convention Center,655
Courtyard Marriott,656
Mooyah Burgers,658
Basin St. Station,659
Fleur de Paris,660
Izzo's Burritos,661
Flughafen,662
Stadtmetzgerei,668
Roseto,670
Slyrs,684
Avia,685
Gocartvermietung,692
Arthotel,699
Cafe Behr,700
Akis,703
Idee. Creativ,722
Obi,723
Trend Design,727
Schatzkiste,729
famila,733
Viale Antico,734
Kamps,749
LeCroBag,752
Kraus,756
Blume 2000,760
Bordbistro,761
Denali,763
Kölner Zoo,765
Zoorestaurant,767
Scheck-In,768
Autowäsche,773
Piccadilly English Shop,774
Carls Brauhaus,775
Zafferano,783
Blumenhaus Rosenbach,787
Goldener Löwe,795
Bethanien,810